	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
1	0.0000	0.3427	47.028	27.710	31.830	15.866	33.257	35.507	19.615	36.423	42.825	17.479	51.161	49.694	165.605	24.420	25.901	54.597	75.580	16.351	28.772	31.460	64.963	26.489	152.907	10.379	28.957	115.024	39.778	22.246	353.320	100.270	27.448	57.980	18.216	84.353	10.822	64.863	23.601	18.898	83.189	28.523	179.370	65.399	26.804
2	0.3427	0.0000	32.982	19.181	37.124	24.465	30.311	28.160	14.009	31.806	34.619	16.280	30.882	45.839	149.051	31.509	27.641	42.382	88.078	19.119	42.730	45.823	48.882	20.838	182.102	10.794	28.545	115.657	22.327	26.171	385.576	117.509	25.866	48.887	17.804	77.186	0.5131	70.200	20.211	11.590	89.700	19.504	157.481	46.720	33.875
3	47.028	32.982	0.0000	11.920	43.097	88.164	10.057	22.555	24.234	20.995	35.787	47.459	0.9958	52.123	120.862	56.244	22.477	31.944	141.158	27.438	107.255	128.828	0.6055	0.6270	283.683	34.441	58.224	186.062	46.300	78.738	323.371	149.053	26.844	57.260	65.123	95.713	20.056	47.937	49.327	15.098	161.803	63.104	127.876	16.677	93.807
4	27.710	19.181	11.920	0.0000	16.600	44.481	11.323	10.906	22.112	0.7659	28.440	35.270	11.561	17.067	92.497	22.834	28.078	13.788	73.169	26.514	88.790	103.290	25.520	0.5441	245.769	13.693	17.720	105.155	27.444	64.679	305.962	85.819	0.5183	43.001	39.739	63.203	14.155	62.123	35.218	0.6904	87.753	37.427	110.186	15.527	51.860
5	31.830	37.124	43.097	16.600	0.0000	30.234	16.862	30.335	47.158	17.394	56.504	54.240	55.698	20.136	123.081	0.3838	29.450	38.910	36.915	31.638	83.284	99.210	64.521	18.010	219.062	14.126	15.900	95.509	68.717	79.350	223.093	37.648	0.6166	73.888	56.021	86.087	32.441	51.255	58.072	28.924	65.859	69.825	158.765	55.427	48.495
6	15.866	24.465	88.164	44.481	30.234	0.0000	60.877	63.990	61.341	58.684	83.715	53.443	83.482	47.818	186.601	14.208	58.401	74.478	31.643	54.236	62.229	58.534	121.025	53.526	188.772	14.325	18.142	62.877	50.582	60.666	372.579	65.445	36.374	96.172	40.884	105.618	32.874	97.518	58.843	48.452	31.090	48.301	217.924	101.074	31.543
7	33.257	30.311	10.057	11.323	16.862	60.877	0.0000	24.804	28.343	16.021	44.168	46.493	30.603	43.111	137.010	27.175	0.7143	39.884	100.660	15.525	84.992	106.958	22.687	0.1601	245.461	19.118	43.645	166.979	63.177	72.922	251.051	100.878	14.656	68.435	62.326	102.245	17.788	22.808	51.965	17.870	131.486	73.199	157.332	35.671	76.546
8	35.507	28.160	22.555	10.906	30.335	63.990	24.804	0.0000	10.920	0.2595	0.5441	17.850	21.957	15.418	55.259	42.946	44.777	0.5157	88.696	22.172	67.586	84.163	21.770	17.971	183.351	36.247	27.171	116.873	46.653	43.201	270.821	86.383	0.9994	12.378	23.379	27.332	33.918	91.224	15.021	0.4269	113.174	27.556	63.949	10.173	34.901
9	19.615	14.009	24.234	22.112	47.158	61.341	28.343	10.920	0.0000	18.135	0.7744	0.4273	28.571	44.366	103.672	54.586	32.283	27.484	120.852	0.9351	36.803	49.058	22.485	20.644	150.391	34.903	45.597	154.601	46.025	16.945	321.123	127.523	26.215	18.485	14.122	47.795	22.373	78.850	0.5566	0.4610	140.045	22.129	102.372	26.744	35.218
10	36.423	31.806	20.995	0.7659	17.394	58.684	16.021	0.2595	18.135	0.0000	14.569	27.276	26.002	11.742	62.966	30.467	36.444	0.8086	74.707	21.347	74.887	94.013	24.572	12.409	197.659	29.733	22.913	114.291	53.947	55.316	237.297	68.725	0.3976	24.869	33.673	39.254	32.914	74.069	25.887	0.7431	104.285	40.998	79.496	14.759	40.370
11	42.825	34.619	35.787	28.440	56.504	83.715	44.168	0.5441	0.7744	14.569	0.0000	10.608	33.455	33.497	57.350	70.305	60.963	14.408	121.471	25.830	55.946	71.027	26.284	34.952	151.462	57.418	47.515	143.402	58.643	29.664	297.651	117.454	28.313	0.3171	17.596	20.625	47.719	117.150	0.6951	0.9871	145.798	23.503	55.064	17.729	34.652
12	17.479	16.280	47.459	35.270	54.240	53.443	46.493	17.850	0.4273	27.276	10.608	0.0000	48.125	47.163	107.693	57.710	47.788	35.790	110.486	15.078	20.990	28.360	45.571	37.212	110.421	41.513	44.601	138.661	54.021	0.5683	329.652	118.447	33.621	16.752	0.4329	39.443	33.146	102.474	0.1029	12.051	127.607	15.879	106.508	43.734	19.045
13	51.161	30.882	0.9958	11.561	55.698	83.482	30.603	21.957	28.571	26.002	33.455	48.125	0.0000	42.003	96.962	64.150	50.602	20.285	131.154	48.351	122.761	136.749	17.793	19.385	301.953	38.522	46.544	143.103	19.595	81.927	400.170	153.826	30.483	46.873	55.723	75.092	23.889	92.663	45.217	15.257	134.160	39.853	100.322	0.8548	84.834
14	49.694	45.839	52.123	17.067	20.136	47.818	43.111	15.418	44.366	11.742	33.497	47.163	42.003	0.0000	51.182	27.298	72.552	0.9522	38.077	53.794	100.792	113.290	63.669	35.796	218.498	36.289	0.7952	56.497	50.946	78.593	268.296	40.586	0.8129	36.565	40.062	32.566	52.021	119.921	42.197	24.145	57.126	40.287	77.172	29.534	33.808
15	165.605	149.051	120.862	92.497	123.081	186.601	137.010	55.259	103.672	62.966	57.350	107.693	96.962	51.182	0.0000	150.269	193.271	36.127	151.758	141.316	197.660	219.532	103.182	124.358	276.489	160.301	94.584	140.115	136.341	152.399	304.029	128.139	82.915	43.657	102.652	25.174	166.200	266.856	90.838	86.809	182.998	95.595	0.7364	51.997	103.657
16	24.420	31.509	56.244	22.834	0.3838	14.208	27.175	42.946	54.586	30.467	70.305	57.710	64.150	27.298	150.269	0.0000	34.424	51.788	27.117	39.009	79.671	89.104	84.785	26.318	219.122	0.8323	12.625	79.466	60.659	77.908	269.121	40.310	13.065	87.712	54.354	99.075	28.858	58.444	62.765	35.846	45.826	65.900	187.926	72.143	44.655
17	25.901	27.641	22.477	28.078	29.450	58.401	0.7143	44.777	32.283	36.444	60.963	47.788	50.602	72.552	193.271	34.424	0.0000	70.253	121.128	11.890	66.936	85.779	37.974	10.061	225.803	20.516	62.248	199.595	76.139	63.619	278.723	127.090	32.328	90.105	66.554	134.323	15.719	10.805	57.928	29.027	150.437	83.852	211.213	64.478	83.743
18	54.597	42.382	31.944	13.788	38.910	74.478	39.884	0.5157	27.484	0.8086	14.408	35.790	20.285	0.9522	36.127	51.788	70.253	0.0000	84.009	47.214	102.354	117.796	33.015	30.036	227.523	47.191	24.927	94.889	41.613	68.999	300.623	86.020	14.552	17.196	35.835	23.272	47.759	122.667	29.155	13.386	101.693	30.503	47.093	0.6849	45.433
19	75.580	88.078	141.158	73.169	36.915	31.643	100.660	88.696	120.852	74.707	121.471	110.486	131.154	38.077	151.758	27.117	121.128	84.009	0.0000	111.770	132.597	134.095	176.376	96.082	239.868	55.753	22.808	28.013	104.286	132.508	300.651	14.808	48.807	125.869	87.824	106.540	97.679	161.297	110.231	91.752	12.492	96.789	203.592	128.806	54.100
20	16.351	19.119	27.438	26.514	31.638	54.236	15.525	22.172	0.9351	21.347	25.830	15.078	48.351	53.794	141.316	39.009	11.890	47.214	111.770	0.0000	30.286	46.710	31.175	14.885	145.331	27.226	50.739	175.561	71.864	25.151	258.897	109.925	24.534	44.470	29.774	78.980	21.458	41.147	21.487	13.645	143.540	50.136	150.450	48.568	44.216
21	28.772	42.730	107.255	88.790	83.284	62.229	84.992	67.586	36.803	74.887	55.946	20.990	122.761	100.792	197.660	79.671	66.936	102.354	132.597	30.286	0.0000	0.3337	108.443	80.286	54.091	69.129	84.745	186.771	117.362	0.7806	325.277	136.575	75.677	65.422	25.749	92.191	66.978	115.921	28.775	55.454	158.218	57.200	200.648	120.663	30.794
22	31.460	45.823	128.828	103.290	99.210	58.534	106.958	84.163	49.058	94.013	71.027	28.360	136.749	113.290	219.532	89.104	85.779	117.796	134.095	46.710	0.3337	0.0000	134.060	98.960	55.251	75.850	89.545	176.334	115.573	10.557	383.150	149.486	90.972	78.049	27.342	102.117	74.497	141.603	35.987	68.204	149.004	55.237	221.598	140.017	31.173
23	64.963	48.882	0.6055	25.520	64.521	121.025	22.687	21.770	22.485	24.572	26.284	45.571	17.793	63.669	103.182	84.785	37.974	33.015	176.376	31.175	108.443	134.060	0.0000	18.635	265.870	60.899	80.273	220.681	67.445	76.587	310.126	172.676	39.942	44.395	67.793	84.050	40.096	69.458	45.525	19.685	205.157	68.657	101.050	14.232	101.427
24	26.489	20.838	0.6270	0.5441	18.010	53.526	0.1601	17.971	20.644	12.409	34.952	37.212	19.385	35.796	124.358	26.318	10.061	30.036	96.082	14.885	80.286	98.960	18.635	0.0000	241.173	14.594	35.159	149.472	45.356	63.228	281.164	102.839	11.328	56.281	49.950	88.090	11.136	32.850	41.106	10.289	119.446	55.591	141.107	25.925	66.266
25	152.907	182.102	283.683	245.769	219.062	188.772	245.461	183.351	150.391	197.659	151.462	110.421	301.953	218.498	276.489	219.122	225.803	227.523	239.868	145.331	54.091	55.251	265.870	241.173	0.0000	226.782	212.133	296.449	294.386	78.750	349.271	215.287	207.339	144.878	108.904	151.608	234.557	297.860	115.898	185.846	286.573	164.521	274.524	269.685	94.780
26	10.379	10.794	34.441	13.693	14.126	14.325	19.118	36.247	34.903	29.733	57.418	41.513	38.522	36.289	160.301	0.8323	20.516	47.191	55.753	27.226	69.129	75.850	60.899	14.594	226.782	0.0000	17.591	98.442	32.554	59.046	336.423	81.515	15.621	76.817	41.855	100.440	0.6792	48.100	47.048	21.429	63.302	45.792	185.569	56.128	47.226
27	28.957	28.545	58.224	17.720	15.900	18.142	43.645	27.171	45.597	22.913	47.515	44.601	46.544	0.7952	94.584	12.625	62.248	24.927	22.808	50.739	84.745	89.545	80.273	35.159	212.133	17.591	0.0000	40.659	35.502	68.162	317.274	41.723	10.509	53.698	33.353	53.335	35.049	107.668	43.019	25.912	30.013	32.857	123.519	47.796	25.792
28	115.024	115.657	186.062	105.155	95.509	62.877	166.979	116.873	154.601	114.291	143.402	138.661	143.103	56.497	140.115	79.466	199.595	94.889	28.013	175.561	186.771	176.334	220.681	149.472	296.449	98.442	40.659	0.0000	91.621	164.203	465.517	66.255	89.176	133.976	101.222	100.187	135.963	269.326	130.141	121.248	11.699	86.921	181.417	142.705	72.013
29	39.778	22.327	46.300	27.444	68.717	50.582	63.177	46.653	46.025	53.947	58.643	54.021	19.595	50.946	136.341	60.659	76.139	41.613	104.286	71.864	117.362	115.573	67.445	45.356	294.386	32.554	35.502	91.621	0.0000	77.901	507.973	153.987	46.200	67.338	46.609	87.055	24.180	130.889	51.344	30.957	82.731	23.333	142.747	41.797	68.746
30	22.246	26.171	78.738	64.679	79.350	60.666	72.922	43.201	16.945	55.316	29.664	0.5683	81.927	78.593	152.399	77.908	63.619	68.999	132.508	25.151	0.7806	10.557	76.587	63.228	78.750	59.046	68.162	164.203	77.901	0.0000	362.837	143.789	60.460	35.531	0.9233	61.398	49.437	121.552	0.9226	32.579	148.022	27.169	147.713	80.374	23.298
31	353.320	385.576	323.371	305.962	223.093	372.579	251.051	270.821	321.123	237.297	297.651	329.652	400.170	268.296	304.029	269.121	278.723	300.623	300.651	258.897	325.277	383.150	310.126	281.164	349.271	336.423	317.274	465.517	507.973	362.837	0.0000	188.512	248.838	318.054	358.474	318.067	379.833	265.747	336.189	311.217	433.333	434.941	361.699	331.957	317.815
32	100.270	117.509	149.053	85.819	37.648	65.445	100.878	86.383	127.523	68.725	117.454	118.447	153.826	40.586	128.139	40.310	127.090	86.020	14.808	109.925	136.575	149.486	172.676	102.839	215.287	81.515	41.723	66.255	153.987	143.789	188.512	0.0000	51.130	121.561	103.481	99.487	127.239	160.771	117.873	101.216	53.545	126.642	182.550	132.536	63.953
33	27.448	25.866	26.844	0.5183	0.6166	36.374	14.656	0.9994	26.215	0.3976	28.313	33.621	30.483	0.8129	82.915	13.065	32.328	14.552	48.807	24.534	75.677	90.972	39.942	11.328	207.339	15.621	10.509	89.176	46.200	60.460	248.838	51.130	0.0000	40.440	35.417	52.216	25.386	66.242	33.803	11.073	72.651	42.014	107.361	26.248	36.150
34	57.980	48.887	57.260	43.001	73.888	96.172	68.435	12.378	18.485	24.869	0.3171	16.752	46.873	36.565	43.657	87.712	90.105	17.196	125.869	44.470	65.422	78.049	44.395	56.281	144.878	76.817	53.698	133.976	67.338	35.531	318.054	121.561	40.440	0.0000	18.895	0.9189	68.593	157.057	10.154	20.902	147.460	22.448	39.017	25.393	33.144
35	18.216	17.804	65.123	39.739	56.021	40.884	62.326	23.379	14.122	33.673	17.596	0.4329	55.723	40.062	102.652	54.354	66.554	35.835	87.824	29.774	25.749	27.342	67.793	49.950	108.904	41.855	33.353	101.222	46.609	0.9233	358.474	103.481	35.417	18.895	0.0000	31.539	39.635	129.332	0.3519	18.281	96.317	0.7397	105.044	52.001	0.7956
