	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
1	0.0000	58.424	65.173	134.979	44.623	65.162	66.624	75.357	28.343	32.082	61.580	41.352	106.684	55.127	94.066	474.902	94.524	63.320	74.047	0.7381	13.286	54.819	0.6116	41.733	11.673	15.572	17.806	116.519	154.832	32.817	117.526	90.353	70.676	75.082	158.779	131.766	145.214	75.073	88.173	85.779	235.129	95.971	48.285	123.655	120.196
2	58.424	0.0000	135.184	28.544	83.917	0.1152	58.747	97.818	61.079	50.296	54.588	99.429	63.002	52.084	80.363	472.732	28.077	33.228	18.478	57.437	51.467	70.678	43.087	45.801	23.747	42.136	66.919	31.031	88.090	73.334	65.632	59.225	82.953	100.211	174.887	107.668	156.071	116.121	152.134	166.467	136.382	60.764	68.162	39.572	115.804
3	65.173	135.184	0.0000	219.901	48.513	152.960	172.008	226.608	170.508	133.936	165.556	174.279	170.720	114.796	75.596	542.643	168.246	133.077	152.643	48.376	110.011	80.398	88.401	136.731	76.836	112.977	119.692	169.529	143.091	33.142	186.822	224.646	152.064	148.357	332.354	248.567	93.828	105.867	200.573	104.331	320.210	150.684	79.365	217.407	112.340
4	134.979	28.544	219.901	0.0000	164.191	29.568	147.121	199.220	135.443	127.395	137.207	188.457	120.399	120.333	158.587	516.324	54.902	31.571	13.045	114.797	105.286	78.630	109.487	59.745	71.322	81.225	108.622	0.8102	68.976	123.460	94.656	103.110	127.550	140.400	174.320	99.738	203.153	160.600	186.968	209.813	133.339	134.830	141.651	63.403	204.223
5	44.623	83.917	48.513	164.191	0.0000	101.460	59.636	101.017	88.098	39.582	52.165	68.446	188.004	121.989	104.802	496.712	155.041	117.030	96.238	32.586	96.474	67.225	73.277	75.464	46.370	70.680	92.237	132.249	96.619	20.618	71.162	91.251	122.155	141.565	268.476	157.706	72.278	72.865	149.561	99.209	164.295	106.398	69.776	167.680	62.398
6	65.162	0.1152	152.960	29.568	101.460	0.0000	63.670	99.651	62.046	57.125	60.274	106.197	56.285	50.908	86.074	479.848	24.631	37.322	23.853	68.342	52.330	84.802	45.137	53.911	29.445	47.078	71.451	35.802	105.760	89.381	78.512	65.061	88.487	105.707	176.024	117.295	180.353	132.926	162.393	185.746	150.941	63.803	76.108	36.911	131.283
7	66.624	58.747	172.008	147.121	59.636	63.670	0.0000	13.711	35.292	10.309	0.1985	32.866	142.609	99.684	128.389	498.872	115.202	133.783	100.423	83.760	97.670	149.033	73.699	92.107	63.859	78.812	107.501	153.143	182.495	108.146	53.550	26.140	108.306	144.210	221.448	141.850	166.187	122.945	157.633	185.527	127.758	61.821	80.733	100.838	79.135
8	75.357	97.818	226.608	199.220	101.017	99.651	13.711	0.0000	22.260	19.211	17.850	18.953	171.461	119.831	181.342	523.288	150.510	165.736	140.795	105.497	99.804	189.436	80.718	109.745	88.185	86.947	106.258	213.298	265.903	151.349	94.578	36.058	116.311	150.748	195.130	153.575	230.439	146.036	142.553	202.013	177.243	93.524	106.337	133.052	128.623
9	28.343	61.079	170.508	135.443	88.098	62.046	35.292	22.260	0.0000	15.800	33.869	13.573	124.128	76.591	151.569	486.260	101.604	86.799	81.906	49.660	31.284	108.714	26.159	48.473	36.153	26.242	33.588	141.541	209.011	96.169	99.956	41.757	74.394	91.856	121.721	108.357	210.310	106.836	84.975	138.792	194.055	94.807	78.315	105.840	147.581
10	32.082	50.296	133.936	127.395	39.582	57.125	10.309	19.211	15.800	0.0000	0.6883	11.985	144.398	91.590	130.952	478.425	111.862	96.183	71.981	42.538	56.771	94.406	42.041	48.593	32.335	37.252	56.806	124.021	149.573	65.211	55.611	25.967	88.676	114.731	176.100	111.753	149.971	91.241	110.390	133.179	138.536	79.317	70.602	109.632	93.892
11	61.580	54.588	165.556	137.207	52.165	60.274	0.1985	17.850	33.869	0.6883	0.0000	28.149	155.242	110.352	140.180	497.939	122.465	128.135	89.609	75.690	91.234	134.012	70.404	79.357	54.987	68.899	98.060	138.259	162.312	94.370	54.047	27.046	119.766	155.007	227.519	143.053	170.625	127.428	161.327	186.538	129.506	77.846	91.455	112.467	91.995
12	41.352	99.429	174.279	188.457	68.446	106.197	32.866	18.953	13.573	11.985	28.149	0.0000	201.264	132.122	196.678	508.194	169.932	134.937	114.914	59.010	65.720	123.439	56.288	63.677	57.092	46.632	57.215	184.773	215.859	93.665	99.030	45.775	112.648	136.566	169.681	131.487	204.531	113.191	101.605	142.880	192.025	131.582	107.025	167.930	147.696
13	106.684	63.002	170.720	120.399	188.004	56.285	142.609	171.461	124.128	144.398	155.242	201.264	0.0000	12.473	40.874	530.134	14.963	84.168	119.628	125.182	87.705	173.996	72.013	157.751	94.486	121.042	131.313	136.124	248.812	173.449	182.518	165.900	80.360	83.850	202.750	195.841	220.771	166.197	197.985	213.437	284.129	48.843	59.944	38.134	147.078
14	55.127	52.084	114.796	120.333	121.989	50.908	99.684	119.831	76.591	91.590	110.352	132.122	12.473	0.0000	28.320	490.789	20.928	61.524	96.126	69.356	51.687	121.337	35.608	108.508	56.986	75.248	80.937	127.815	212.632	114.093	135.793	119.790	39.654	42.870	153.922	143.416	155.257	97.242	124.667	131.784	239.389	30.899	21.399	40.450	99.191
15	94.066	80.363	75.596	158.587	104.802	86.074	128.389	181.342	151.569	130.952	140.180	196.678	40.874	28.320	0.0000	520.155	52.621	105.871	134.163	95.066	117.285	142.571	86.355	164.787	92.098	136.036	152.306	151.056	189.702	111.814	142.274	170.302	82.560	89.162	268.391	204.449	103.123	109.134	198.909	150.198	245.388	33.937	27.485	74.003	57.961
16	474.902	472.732	542.643	516.324	496.712	479.848	498.872	523.288	486.260	478.425	497.939	508.194	530.134	490.789	520.155	0.0000	495.880	476.315	478.399	469.844	484.215	490.580	474.039	474.560	464.551	470.950	484.311	514.326	548.132	491.729	494.752	490.455	481.354	493.085	562.210	508.812	539.928	489.962	516.396	520.971	568.998	497.205	476.031	501.593	523.199
17	94.524	28.077	168.246	54.902	155.041	24.631	115.202	150.510	101.604	111.862	122.465	169.932	14.963	20.928	52.621	495.880	0.0000	39.218	58.281	98.553	73.951	117.710	63.563	98.970	66.197	85.125	101.190	72.132	165.036	136.056	114.131	108.565	56.466	64.128	149.693	119.602	174.124	123.721	152.865	173.372	186.738	41.686	53.369	11.345	127.429
18	63.320	33.228	133.077	31.571	117.030	37.322	133.783	165.736	86.799	96.183	128.135	134.937	84.168	61.524	105.871	476.315	39.218	0.0000	15.303	46.884	42.442	30.557	46.931	27.087	33.169	32.517	40.227	31.076	89.083	69.483	96.324	96.644	52.567	51.264	94.865	61.192	140.322	75.557	85.231	95.140	163.718	101.863	69.312	58.534	158.656
19	74.047	18.478	152.643	13.045	96.238	23.853	100.423	140.795	81.906	71.981	89.609	114.914	119.628	96.126	134.163	478.399	58.281	15.303	0.0000	55.458	60.701	34.078	63.053	18.452	30.449	34.581	55.431	11.191	50.780	63.762	62.572	65.820	88.360	99.779	137.077	66.827	147.396	98.865	120.919	134.088	115.448	111.921	97.252	68.470	155.409
20	0.7381	57.437	48.376	114.797	32.586	68.342	83.760	105.497	49.660	42.538	75.690	59.010	125.182	69.356	95.066	469.844	98.553	46.884	55.458	0.0000	23.794	24.221	17.951	27.787	10.360	15.220	19.381	90.523	106.395	12.263	98.945	92.860	68.712	70.962	155.395	108.838	106.078	52.958	79.220	58.934	203.914	105.395	48.834	126.931	111.678
21	13.286	51.467	110.011	105.286	96.474	52.330	97.670	99.804	31.284	56.771	91.234	65.720	87.705	51.687	117.285	484.215	73.951	42.442	60.701	23.794	0.0000	59.637	0.3703	36.520	14.527	0.9690	0.7530	95.758	171.117	61.455	148.632	105.645	74.216	72.730	125.794	127.831	204.877	106.478	91.857	115.302	264.624	117.022	71.775	109.326	180.510
22	54.819	70.678	80.398	78.630	67.225	84.802	149.033	189.436	108.714	94.406	134.012	123.439	173.996	121.337	142.571	490.580	117.710	30.557	34.078	24.221	59.637	0.0000	63.104	21.202	32.994	33.907	41.143	51.236	51.181	20.239	102.907	121.830	96.776	94.299	155.730	88.718	105.114	63.946	95.044	64.404	181.071	159.908	94.461	146.117	160.478
23	0.6116	43.087	88.401	109.487	73.277	45.137	73.699	80.718	26.159	42.041	70.404	56.288	72.013	35.608	86.355	474.039	63.563	46.931	63.053	17.951	0.3703	63.104	0.0000	42.650	10.814	13.701	15.283	99.864	165.586	52.643	127.541	92.259	62.540	65.037	139.173	128.326	173.252	91.152	93.221	106.754	243.343	86.165	48.611	94.343	138.376
24	41.733	45.801	136.731	59.745	75.464	53.911	92.107	109.745	48.473	48.593	79.357	63.677	157.751	108.508	164.787	474.560	98.970	27.087	18.452	27.787	36.520	21.202	42.650	0.0000	20.595	0.9571	19.144	50.881	81.665	43.991	74.603	59.028	78.828	86.367	104.407	56.885	149.674	73.557	70.231	89.440	143.358	136.602	94.876	111.850	166.039
25	11.673	23.747	76.836	71.322	46.370	29.445	63.859	88.185	36.153	32.335	54.987	57.092	94.486	56.986	92.098	464.551	66.197	33.169	30.449	10.360	14.527	32.994	10.814	20.595	0.0000	0.8017	19.027	55.811	95.007	25.498	89.286	73.626	76.385	83.875	158.206	110.426	141.047	83.652	105.324	104.836	187.867	91.842	58.273	93.136	124.433
26	15.572	42.136	112.977	81.225	70.680	47.078	78.812	86.947	26.242	37.252	68.899	46.632	121.042	75.248	136.036	470.950	85.125	32.517	34.581	15.220	0.9690	33.907	13.701	0.9571	0.8017	0.0000	0.4144	70.885	120.435	41.568	100.999	69.700	71.306	75.838	112.035	87.178	168.985	81.762	73.016	94.419	195.069	119.402	75.755	108.460	161.758
27	17.806	66.919	119.692	108.622	92.237	71.451	107.501	106.258	33.588	56.806	98.060	57.215	131.313	80.937	152.306	484.311	101.190	40.227	55.431	19.381	0.7530	41.143	15.283	19.144	19.027	0.4144	0.0000	97.058	155.067	53.532	135.255	96.000	72.476	70.346	99.516	97.003	189.789	85.867	62.397	86.779	239.210	141.818	83.815	130.490	190.040
28	116.519	31.031	169.529	0.8102	132.249	35.802	153.143	213.298	141.541	124.021	138.259	184.773	136.124	127.815	151.056	514.326	72.132	31.076	11.191	90.523	95.758	51.236	99.864	50.881	55.811	70.885	97.058	0.0000	38.914	85.038	103.195	121.876	143.231	152.345	207.554	120.347	182.450	154.314	195.601	192.232	156.188	152.157	141.300	93.541	200.381
29	154.832	88.090	143.091	68.976	96.619	105.760	182.495	265.903	209.011	149.573	162.312	215.859	248.812	212.632	189.702	548.132	165.036	89.083	50.780	106.395	171.117	51.181	165.586	81.665	95.007	120.435	155.067	38.914	0.0000	65.923	93.130	154.011	199.987	214.634	302.787	151.948	120.621	146.045	235.048	178.566	134.600	203.349	175.340	180.193	177.701
30	32.817	73.334	33.142	123.460	20.618	89.381	108.146	151.349	96.169	65.211	94.370	93.665	173.449	114.093	111.814	491.729	136.056	69.483	63.762	12.263	61.455	20.239	52.643	43.991	25.498	41.568	53.532	85.038	65.923	0.0000	103.524	122.833	117.384	121.902	230.386	143.935	90.918	72.897	131.038	79.069	204.617	140.166	79.479	168.805	116.658
31	117.526	65.632	186.822	94.656	71.162	78.512	53.550	94.578	99.956	55.611	54.047	99.030	182.518	135.793	142.274	494.752	114.131	96.324	62.572	98.945	148.632	102.907	127.541	74.603	89.286	100.999	135.255	103.195	93.130	103.524	0.0000	22.814	86.084	119.046	176.994	58.613	78.881	68.229	124.224	128.947	22.099	72.466	84.566	82.104	61.329
32	90.353	59.225	224.646	103.110	91.251	65.061	26.140	36.058	41.757	25.967	27.046	45.775	165.900	119.790	170.302	490.455	108.565	96.644	65.820	92.860	105.645	121.830	92.259	59.028	73.626	69.700	96.000	121.876	154.011	122.833	22.814	0.0000	77.991	111.119	130.508	58.226	153.650	91.074	99.808	150.092	60.611	77.248	92.005	78.616	103.158
33	70.676	82.953	152.064	127.550	122.155	88.487	108.306	116.311	74.394	88.676	119.766	112.648	80.360	39.654	82.560	481.354	56.466	52.567	88.360	68.712	74.216	96.776	62.540	78.828	76.385	71.306	72.476	143.231	199.987	117.384	86.084	77.991	0.0000	0.3966	59.731	47.439	102.285	29.245	34.417	54.447	152.277	46.571	21.026	49.716	88.599
34	75.082	100.211	148.357	140.400	141.565	105.707	144.210	150.748	91.856	114.731	155.007	136.566	83.850	42.870	89.162	493.085	64.128	51.264	99.779	70.962	72.730	94.299	65.037	86.367	83.875	75.838	70.346	152.345	214.634	121.902	119.046	111.119	0.3966	0.0000	56.231	59.130	114.742	34.130	33.018	47.714	193.934	68.414	28.465	66.685	115.317
35	158.779	174.887	332.354	174.320	268.476	176.024	221.448	195.130	121.721	176.100	227.519	169.681	202.750	153.922	268.391	562.210	149.693	94.865	137.077	155.395	125.794	155.730	139.173	104.407	158.206	112.035	99.516	207.554	302.787	230.386	176.994	130.508	59.731	56.231	0.0000	42.988	257.961	107.481	31.505	116.556	220.466	188.742	146.606	134.570	272.769
36	131.766	107.668	248.567	99.738	157.706	117.295	141.850	153.575	108.357	111.753	143.053	131.487	195.841	143.416	204.449	508.812	119.602	61.192	66.827	108.838	127.831	88.718	128.326	56.885	110.426	87.178	97.003	120.347	151.948	143.935	58.613	58.226	47.439	59.130	42.988	0.0000	129.898	50.485	37.996	79.472	76.258	128.058	104.020	92.399	157.175
37	145.214	156.071	93.828	203.153	72.278	180.353	166.187	230.439	210.310	149.971	170.625	204.531	220.771	155.257	103.123	539.928	174.124	140.322	147.396	106.078	204.877	105.114	173.252	149.674	141.047	168.985	189.789	182.450	120.621	90.918	78.881	153.650	102.285	114.742	257.961	129.898	0.0000	38.254	146.176	64.349	129.671	108.964	69.693	164.784	40.748
38	75.073	116.121	105.867	160.600	72.865	132.926	122.945	146.036	106.836	91.241	127.428	113.191	166.197	97.242	109.134	489.962	123.721	75.557	98.865	52.958	106.478	63.946	91.152	73.557	83.652	81.762	85.867	154.314	146.045	72.897	68.229	91.074	29.245	34.130	107.481	50.485	38.254	0.0000	35.263	11.961	129.400	87.515	36.096	116.718	67.996
39	88.173	152.134	200.573	186.968	149.561	162.393	157.633	142.553	84.975	110.390	161.327	101.605	197.985	124.667	198.909	516.396	152.865	85.231	120.919	79.220	91.857	95.044	93.221	70.231	105.324	73.016	62.397	195.601	235.048	131.038	124.224	99.808	34.417	33.018	31.505	37.996	146.176	35.263	0.0000	34.640	188.091	145.929	83.670	144.809	171.021
40	85.779	166.467	104.331	209.813	99.209	185.746	185.527	202.013	138.792	133.179	186.538	142.880	213.437	131.784	150.198	520.971	173.372	95.140	134.088	58.934	115.302	64.404	106.754	89.440	104.836	94.419	86.779	192.232	178.566	79.069	128.947	150.092	54.447	47.714	116.556	79.472	64.349	11.961	34.640	0.0000	206.227	149.567	66.023	180.532	123.157
41	235.129	136.382	320.210	133.339	164.295	150.941	127.758	177.243	194.055	138.536	129.506	192.025	284.129	239.389	245.388	568.998	186.738	163.718	115.448	203.914	264.624	181.071	243.343	143.358	187.867	195.069	239.210	156.188	134.600	204.617	22.099	60.611	152.277	193.934	220.466	76.258	129.671	129.400	188.091	206.227	0.0000	141.248	173.174	129.290	125.072
42	95.971	60.764	150.684	134.830	106.398	63.803	61.821	93.524	94.807	79.317	77.846	131.582	48.843	30.899	33.937	497.205	41.686	101.863	111.921	105.395	117.022	159.908	86.165	136.602	91.842	119.402	141.818	152.157	203.349	140.166	72.466	77.248	46.571	68.414	188.742	128.058	108.964	87.515	145.929	149.567	141.248	0.0000	22.218	29.393	36.370
43	48.285	68.162	79.365	141.651	69.776	76.108	80.733	106.337	78.315	70.602	91.455	107.025	59.944	21.399	27.485	476.031	53.369	69.312	97.252	48.834	71.775	94.461	48.611	94.876	58.273	75.755	83.815	141.300	175.340	79.479	84.566	92.005	21.026	28.465	146.606	104.020	69.693	36.096	83.670	66.023	173.174	22.218	0.0000	58.773	39.922
44	123.655	39.572	217.407	63.403	167.680	36.911	100.838	133.052	105.840	109.632	112.467	167.930	38.134	40.450	74.003	501.593	11.345	58.534	68.470	126.931	109.326	146.117	94.343	111.850	93.136	108.460	130.490	93.541	180.193	168.805	82.104	78.616	49.716	66.685	134.570	92.399	164.784	116.718	144.809	180.532	129.290	29.393	58.773	0.0000	109.198
45	120.196	115.804	112.340	204.223	62.398	131.283	79.135	128.623	147.581	93.892	91.995	147.696	147.078	99.191	57.961	523.199	127.429	158.656	155.409	111.678	180.510	160.478	138.376	166.039	124.433	161.758	190.040	200.381	177.701	116.658	61.329	103.158	88.599	115.317	272.769	157.175	40.748	67.996	171.021	123.157	125.072	36.370	39.922	109.198	0.0000
